curve,Ds,Da,rate_bits
upper_bound,0.5,0.1,2.6864638552856785
upper_bound,0.5,0.5103448275862069,1.5107276700349894
upper_bound,0.5,0.9206896551724137,1.0851063870056876
upper_bound,0.5,1.331034482758621,1.0
upper_bound,0.5,1.7413793103448276,1.0
upper_bound,0.5,2.151724137931035,0.9039747509765064
upper_bound,0.5,2.5620689655172417,0.7780666601383325
upper_bound,0.5,2.972413793103448,0.7328282008986511
upper_bound,0.5,3.382758620689655,0.7328282008986511
upper_bound,0.5,3.7931034482758625,0.6503207528217886
upper_bound,0.5,4.203448275862069,0.5762234517176936
upper_bound,0.5,4.613793103448276,0.5601594520068802
upper_bound,0.5,5.024137931034483,0.5166233229134062
upper_bound,0.5,5.43448275862069,0.45998999421747433
upper_bound,0.5,5.844827586206896,0.42508944040274665
upper_bound,0.5,6.255172413793103,0.3911823513276572
upper_bound,0.5,6.66551724137931,0.34534876048630053
upper_bound,0.5,7.075862068965518,0.3157503522583255
upper_bound,0.5,7.4862068965517246,0.27633279841056685
upper_bound,0.5,7.896551724137931,0.23783886222598605
upper_bound,0.5,8.306896551724138,0.20256101520688055
upper_bound,0.5,8.717241379310344,0.1677799802375645
upper_bound,0.5,9.127586206896552,0.13459911457841664
upper_bound,0.5,9.537931034482758,0.10287763375086893
upper_bound,0.5,9.948275862068966,0.07249255255969345
upper_bound,0.5,10.358620689655172,0.043335805568980174
upper_bound,0.5,10.76896551724138,0.015311927315829267
upper_bound,0.5,11.179310344827586,0.0
upper_bound,0.5,11.589655172413792,0.0
upper_bound,0.5,12.0,0.0
upper_bound,0.3,0.1,2.6864638552856785
upper_bound,0.3,0.5103448275862069,1.5107276700349894
upper_bound,0.3,0.9206896551724137,1.0851063870056876
upper_bound,0.3,1.331034482758621,1.0
upper_bound,0.3,1.7413793103448276,0.9379472842544916
upper_bound,0.3,2.151724137931035,0.8192019737720857
upper_bound,0.3,2.5620689655172417,0.8192019737720857
upper_bound,0.3,2.972413793103448,0.7137370429307445
upper_bound,0.3,3.382758620689655,0.6944380708271511
upper_bound,0.3,3.7931034482758625,0.6286751030146226
upper_bound,0.3,4.203448275862069,0.5913874541961768
upper_bound,0.3,4.613793103448276,0.5428258578451465
upper_bound,0.3,5.024137931034483,0.5028618191384846
upper_bound,0.3,5.43448275862069,0.4598443838046668
upper_bound,0.3,5.844827586206896,0.4254689139356942
upper_bound,0.3,6.255172413793103,0.38087019903120234
upper_bound,0.3,6.66551724137931,0.3492852345148621
upper_bound,0.3,7.075862068965518,0.3061906878169528
upper_bound,0.3,7.4862068965517246,0.27426807945660825
upper_bound,0.3,7.896551724137931,0.24079089630064066
upper_bound,0.3,8.306896551724138,0.20424749867355846
upper_bound,0.3,8.717241379310344,0.17197256546812312
upper_bound,0.3,9.127586206896552,0.13964104003611114
upper_bound,0.3,9.537931034482758,0.11900917485236995
upper_bound,0.3,9.948275862068966,0.11900917485236995
upper_bound,0.3,10.358620689655172,0.11900917485236995
upper_bound,0.3,10.76896551724138,0.11900917485236995
upper_bound,0.3,11.179310344827586,0.11900917485236995
upper_bound,0.3,11.589655172413792,0.11900917485236995
upper_bound,0.3,12.0,0.11900917485236995
upper_bound,0.1,0.1,2.6864638552856785
upper_bound,0.1,0.5103448275862069,1.5107276700349894
upper_bound,0.1,0.9206896551724137,1.0851063870056876
upper_bound,0.1,1.331034482758621,0.9367548359195789
upper_bound,0.1,1.7413793103448276,0.8691322371489089
upper_bound,0.1,2.151724137931035,0.8199376854453311
upper_bound,0.1,2.5620689655172417,0.7752999951521983
upper_bound,0.1,2.972413793103448,0.7125067737729425
upper_bound,0.1,3.382758620689655,0.6594518096905044
upper_bound,0.1,3.7931034482758625,0.6252859201919951
upper_bound,0.1,4.203448275862069,0.5749777750558934
upper_bound,0.1,4.613793103448276,0.5326649119410716
upper_bound,0.1,5.024137931034483,0.5326649119410716
upper_bound,0.1,5.43448275862069,0.5326649119410716
upper_bound,0.1,5.844827586206896,0.5326649119410716
upper_bound,0.1,6.255172413793103,0.5326649119410716
upper_bound,0.1,6.66551724137931,0.5326649119410716
upper_bound,0.1,7.075862068965518,0.5326649119410716
upper_bound,0.1,7.4862068965517246,0.5326649119410716
upper_bound,0.1,7.896551724137931,0.5326649119410716
upper_bound,0.1,8.306896551724138,0.5326649119410716
upper_bound,0.1,8.717241379310344,0.5326649119410716
upper_bound,0.1,9.127586206896552,0.5326649119410716
upper_bound,0.1,9.537931034482758,0.5326649119410716
upper_bound,0.1,9.948275862068966,0.5326649119410716
upper_bound,0.1,10.358620689655172,0.5326649119410716
upper_bound,0.1,10.76896551724138,0.5326649119410716
upper_bound,0.1,11.179310344827586,0.5326649119410716
upper_bound,0.1,11.589655172413792,0.5326649119410716
upper_bound,0.1,12.0,0.5326649119410716
naive_gaussian,,0.1,3.39067985676233
naive_gaussian,,0.5103448275862069,2.214943671511641
naive_gaussian,,0.9206896551724137,1.789322388482339
naive_gaussian,,1.331034482758621,1.5234418356920756
naive_gaussian,,1.7413793103448276,1.3296005655065375
naive_gaussian,,2.151724137931035,1.1769692448949918
naive_gaussian,,2.5620689655172417,1.0510611540568178
naive_gaussian,,2.972413793103448,0.943898324781567
naive_gaussian,,3.382758620689655,0.8506156912164966
naive_gaussian,,3.7931034482758625,0.7680264501201048
naive_gaussian,,4.203448275862069,0.6939291490160099
naive_gaussian,,4.613793103448276,0.6267391540053855
naive_gaussian,,5.024137931034483,0.5652777732938598
naive_gaussian,,5.43448275862069,0.5086444445979278
naive_gaussian,,5.844827586206896,0.45613557531426296
naive_gaussian,,6.255172413793103,0.4071909840618548
naive_gaussian,,6.66551724137931,0.3613573932204982
naive_gaussian,,7.075862068965518,0.31826284652258896
naive_gaussian,,7.4862068965517246,0.2775983490185437
naive_gaussian,,7.896551724137931,0.23910441283396286
naive_gaussian,,8.306896551724138,0.20256101520688055
naive_gaussian,,8.717241379310344,0.1677799802375645
naive_gaussian,,9.127586206896552,0.13459911457841664
naive_gaussian,,9.537931034482758,0.10287763375086893
naive_gaussian,,9.948275862068966,0.07249255255969345
naive_gaussian,,10.358620689655172,0.043335805568980174
naive_gaussian,,10.76896551724138,0.015311927315829267
naive_gaussian,,11.179310344827586,0.0
naive_gaussian,,11.589655172413792,0.0
naive_gaussian,,12.0,0.0
known_state,,0.1,1.660964047443681
known_state,,0.5103448275862069,0.48522786219299235
known_state,,0.9206896551724137,0.059606579163690256
known_state,,1.331034482758621,0.0
known_state,,1.7413793103448276,0.0
known_state,,2.151724137931035,0.0
known_state,,2.5620689655172417,0.0
known_state,,2.972413793103448,0.0
known_state,,3.382758620689655,0.0
known_state,,3.7931034482758625,0.0
known_state,,4.203448275862069,0.0
known_state,,4.613793103448276,0.0
known_state,,5.024137931034483,0.0
known_state,,5.43448275862069,0.0
known_state,,5.844827586206896,0.0
known_state,,6.255172413793103,0.0
known_state,,6.66551724137931,0.0
known_state,,7.075862068965518,0.0
known_state,,7.4862068965517246,0.0
known_state,,7.896551724137931,0.0
known_state,,8.306896551724138,0.0
known_state,,8.717241379310344,0.0
known_state,,9.127586206896552,0.0
known_state,,9.537931034482758,0.0
known_state,,9.948275862068966,0.0
known_state,,10.358620689655172,0.0
known_state,,10.76896551724138,0.0
known_state,,11.179310344827586,0.0
known_state,,11.589655172413792,0.0
known_state,,12.0,0.0
